,,,,,,,,,,x,x,,,,,,,,,,,
DATE,STATION,,GUN NO.,Voltage_actual,Voltage_Prog,Current_actual,Current_prog,Weld_time_actual,Weld_time_Prog,Heat Generated Actual,Heat Generated Prog,Energy_actual,,Energy_Prog,Heat_actual,Heat_prog,Resistance_actual,Resistance_prog,Phase_actual,Phase_prog,Derived heat,Derived Energy
22.12.2022,ECA-40,RH02,D1-MG-885,2.02,3,8.02,9,800,1000,12960.32,27000,13382.71,3%,10000,16201.01,10000,242,300,38.51,100,19296.12,16200.4
22.12.2022,ECA-40,RH02,D1-MG-885,1.75,3,8.59,9,644,1000,9680.93,27000,9785.337,1%,10000,15030.22,10000,196,300,35.87,100,22136.43,15032.5
22.12.2022,ECA-40,RH02,D1-MG-885,1.56,3,8.83,9,707,1000,9738.7836,27000,9854.756,1%,10000,13770.74,10000,171,300,34.01,100,23390.67,13774.8
22.12.2022,ECA-40,RH02,D1-MG-885,1.67,3,8.73,9,666,1000,9709.6806,27000,9791.549,1%,10000,14586.28,10000,183,300,34.92,100,22863.87,14579.1
22.12.2022,ECA-40,RH02,D1-MG-885,1.97,3,8.04,9,800,1000,12671.04,27000,13118.44,3%,10000,15844.71,10000,239,300,37.58,100,19392.48,15838.8
22.12.2022,ECA-40,RH02,D1-MG-885,1.83,3,8.07,9,800,1000,11814.48,27000,12174.8,3%,10000,14764.81,10000,220,300,36,100,19537.47,14768.1
22.12.2022,ECA-40,RH02,D1-MG-885,1.92,3,8.19,9,800,1000,12579.84,27000,12991.32,3%,10000,15734.02,10000,229,300,37.28,100,20122.83,15724.8
22.12.2022,ECA-40,RH02,D1-MG-885,1.88,3,8.1,9,800,1000,12182.4,27000,12595.27,3%,10000,15234.58,10000,223,300,36.59,100,19683,15228
22.12.2022,ECA-40,RH02,D1-MG-885,1.95,3,8.26,9,659,1000,10614.513,27000,10716.98,1%,10000,16103.1,10000,228,300,37.46,100,20468.28,16107
22.12.2022,ECA-40,RH02,D1-MG-885,1.97,3,8.41,9,621,1000,10288.5417,27000,10374.07,1%,10000,16567.11,10000,217,300,38.13,100,21218.43,16567.7
22.12.2022,ECA-40,RH02,D1-MG-885,1.95,3,8.43,9,632,1000,10389.132,27000,10504.73,1%,10000,16430.31,10000,221,300,37.89,100,21319.47,16438.5
22.12.2022,ECA-40,RH02,D1-MG-885,1.99,3,8.11,9,800,1000,12911.12,27000,13364.54,3%,10000,16133.53,10000,247,300,38.2,100,19731.63,16138.9
22.12.2022,ECA-40,RH02,D1-MG-885,1.67,3,8.66,9,675,1000,9761.985,27000,9839.105,1%,10000,14470.05,10000,180,300,35.13,100,22498.68,14462.2
22.12.2022,ECA-40,RH02,D1-MG-885,1.51,3,8.91,9,721,1000,9700.4061,27000,9823.835,1%,10000,13455.46,10000,165,300,33.99,100,23816.43,13454.1
22.12.2022,ECA-40,RH02,D1-MG-885,1.79,3,8.59,9,635,1000,9763.8235,27000,9876.394,1%,10000,15382.19,10000,198,300,36.26,100,22136.43,15376.1
